warning_signs,symptoms,general_advice,topic,id
"Severe difficulty breathing, inability to speak normally, blue lips or face, or symptoms that rapidly worsen","Wheezing, shortness of breath, chest tightness, or coughing","Avoid known triggers, follow prescribed treatment, and keep rescue medication available if prescribed.",Asthma,Asthma
"Difficulty breathing, swelling of the lips or tongue, fainting, or a rapidly worsening reaction","Sneezing, runny nose, itchy eyes, skin rash, or itching", Avoid known triggers and keep the affected area clean. Seek medical advice if symptoms are persistent or troublesome.,Allergy,allergy
" Difficulty breathing, severe dehydration, or symptoms that become severe or persistent"," Runny nose, sneezing, sore throat, cough, mild fatigue"," Rest, drink enough fluids, and maintain good hygiene.", Common Cold,common_cold
"Difficulty breathing, coughing up blood, severe chest pain, or a persistent or worsening cough","Cough, throat irritation, mucus, or chest discomfort"," Drink fluids, rest, and avoid smoke or other known irritants.",Cough,cough
"Difficulty breathing, confusion, severe weakness, or persistent high fever","Fever, headache, chills, sweating, weakness","Stay hydrated, rest, and monitor symptoms.",Fever,fever
"Severe dehydration, bloody diarrhea, persistent vomiting, severe abdominal pain, high fever, or fainting","Nausea, vomiting, diarrhea, stomach cramps, fever, or weakness","Drink plenty of fluids to prevent dehydration, rest, and eat light foods as tolerated.",Food Poisoning,food_poisoning
"Sudden severe headache, confusion, weakness, or difficulty speaking","Head pain, pressure, sensitivity to light or sound","Rest, stay hydrated, and avoid known triggers.",Headache,headache
"Sudden severe headache, confusion, weakness or numbness, difficulty speaking, or loss of consciousness","Severe headache, nausea, vomiting, and sensitivity to light or sound","Rest in a quiet, dark room, stay hydrated, and avoid known migraine triggers.",Migraine,migraine
"Difficulty breathing or swallowing, severe swelling, or symptoms that are severe or worsening","Throat pain, irritation, pain when swallowing, or a scratchy throat","Drink fluids, rest, and avoid smoke or other throat irritants.",Sore Throat,sore_throat
"Severe or sudden abdominal pain, persistent vomiting, blood in vomit or stool, or fainting","Abdominal discomfort, cramps, bloating, or nausea"," Rest, drink fluids, and avoid foods that appear to worsen the discomfort.",Stomach Pain,stomach_pain
